# Definiciones en español escritas a mano, no traducidas por máquina.
#
# Mandan sobre la caché de data/build/, que está fuera del repositorio
# y se regenera sola. Todo lo que se escriba aquí sobrevive a un clon
# nuevo y no depende del traductor público, que bloquea por tandas.
#
# Formato: inglés<TAB>español. Una línea por definición.
(gram) particle(s), postposition	(gram.) partícula, posposición
holiday, absence; (exp.) Good night	descanso, ausencia; (exp.) buenas noches
illumination	iluminación
in any case, at any rate, anyhow, anyway, as you know, for you see, particularly	en todo caso, de todos modos, como sabes
individual, one by one	individual, uno por uno
it's all right; one doesn’t mind	está bien; no importa
just, right, exactly	justo, exactamente
knitting	punto, tejido de punto
label, ballot, sign	etiqueta, papeleta, letrero
last night	anoche
letter; character	letra; carácter
limits, place to leave off	límite, punto donde parar
lung	pulmón
magnetism	magnetismo
majority, adult age	mayoría de edad
many, much	muchos, mucho
masses, people	masas, pueblo
matter, case, item	asunto, caso, punto
mechanism, organization	mecanismo, organización
medium (e.g., food serving size, quality, price, etc.), ordinary	mediano, corriente
membrane, film	membrana, película
meter, gauge	medidor, indicador
monk, priest	monje, sacerdote
moving (dwelling, office, etc.), changing residence	mudanza
natural shape, one's true colors, true character	forma natural, verdadero carácter
noisy, loud, clamorous, boisterous	ruidoso, escandaloso
nucleus, kernel	núcleo
one another, companion, comrade	compañero, camarada
one's lifetime	toda la vida
opinion, point of view, visual point	opinión, punto de vista
opportunity, chance	oportunidad, ocasión
opposition party	partido de la oposición
organ (of body, instrument)	órgano (del cuerpo, instrumento)
organic	orgánico
origin, beginning, rise	origen, comienzo, surgimiento
ornamentation; modification (gram)	ornamentación; modificación (gram.)
outline, synopsis	esquema, sinopsis
oxidation	oxidación
party, troops	partida, tropa
penalty, sentence, punishment	pena, condena, castigo
personal use, private business	uso personal, asunto privado
physiology, menses	fisiología, menstruación
place, point, part	lugar, punto, parte
population	población
porcelain, china	porcelana
preceding, going first	precedente, ir primero
pretty, clean, tidy	bonito, limpio, ordenado
promotion, encouragement	fomento, estímulo
public performance	función pública, representación
publication, issue	publicación, número
qualifications, requirements, capabilities	requisitos, cualificación
quarterly (e.g., magazine)	trimestral (revista)
really, very, extremely, terribly, awfully (not) anything, (not) at all, (not) a bit	de verdad, muchísimo; (con negación) nada en absoluto
regular, legitimate	regular, legítimo
relatively, comparatively	relativamente, comparativamente
report, statement	informe, declaración
restriction, restraint	restricción, límite
ridge (of roof	caballete (del tejado)
rising, developing, emergent	en auge, emergente
romanization, Roman letters (alphabet)	romanización, alfabeto latino
ruin	ruina
sales, demand	ventas, demanda
same mind, comrade, kindred soul	afín, camarada, alma gemela
search (esp. in criminal investigations, investigation)	registro, investigación
seasoning, flavoring	condimento, sazón
selection, screening	selección, criba
self, oneself	uno mismo
sense of sight, vision	vista, visión
sequence of events, course	secuencia de hechos, curso
shield	escudo
size (of paper or books)	tamaño (de papel o libros)
smartly dressed, fashion-conscious	bien vestido, con estilo
soon, shortly, before long, in a short time, in a little while	pronto, dentro de poco
statue, image	estatua, imagen
status, character, case	condición, carácter, caso
still, as yet	todavía
stone monument bearing an inscription	estela, monumento de piedra con inscripción
superiority, high grade	superioridad, alta calidad
tail, ridge	cola, cresta
terrific, great	estupendo, genial
the deceased	el difunto
the other day, recently	el otro día, hace poco
thigh, crotch	muslo, entrepierna
to accompany, to comply with	acompañar, atenerse a
to accustom	acostumbrar
to address, to put	dirigir, poner
to ask, to question	preguntar, interrogar
to be applicable, to come under (a category)	ser aplicable, entrar en (una categoría)
to be found (v.i.), to be discovered	aparecer, ser descubierto
to be set; fixed (v.i.)	quedar fijado, asentarse
to be shocked, to be appalled	quedarse atónito, horrorizarse
to bear, to endure, to put up with	soportar, aguantar
to bear, to owe	cargar con, deber
to become confused、to panic	aturullarse, entrar en pánico
to bet, to risk, to gamble	apostar, arriesgar
to bind, to file	encuadernar, archivar
to chase or run after someone	perseguir a alguien
to consult with, to confer	consultar, deliberar
to discover, to find (v.t.)	descubrir, encontrar
to domesticate, to tame	domesticar, amansar
to explain, to advocate	explicar, defender
to face, to go towards	dar a, dirigirse hacia
to gather (v.i.), to collect	reunirse, juntarse
to give birth (v.t.), to deliver, to produce	dar a luz, producir
to go out; to depart	salir; partir
to join; to piece together; to set (bones); to graft (trees)	unir, ensamblar, entablillar, injertar
to judge	juzgar
to lack, to crack	carecer de, resquebrajarse
to lean against, to lean on, to recline on	apoyarse en, recostarse en
to look out on, to face, to attend (function)	dar a, asistir a
to meet, to encounter (undesirable nuance)	toparse con, sufrir (algo indeseado)
to pass by one another	cruzarse
to pass, to elapse, to experience	pasar, transcurrir, vivir
to pin down, to hold down, to press down, to hold in place, to hold steady to cover (esp. a part of one's body with one's hand), to clutch (a body part in pain), to press (a body part) to get a hold of, to obtain, to seize, to catch, to arrest	sujetar, apretar, taparse (una parte del cuerpo), agarrar, atrapar
to plot, to attempt, to devise, to design, to refer A to B	tramar, idear, diseñar, remitir A a B
to pluck, to pick, to trim	arrancar, recoger, recortar
to pull out, to take out, to withdraw	sacar, extraer, retirar
to put on (clothes above your waist); to wear	ponerse (ropa de cintura para arriba)
to rise, to go up	subir, elevarse
to run along, to follow	ir a lo largo de, seguir
to sever, to cut off	cortar, seccionar
to shine, to look attractive, to look pretty	lucir, quedar bien
to split, to tear, to burst	partir, rasgar, reventar
to step over/across, to stride over/across, to cross to stretch over, to span, to bridge, to saddle, to straddle	pasar por encima, cruzar, abarcar, montar a horcajadas
to strike; to hit; to punch	golpear, pegar
to succeed (someone in a business or inheritance	suceder a alguien (en un negocio o herencia)
to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of, to detach, to disconnect	arrancar, pelar, despegar, desollar, despojar de
to the best of one's ability	en la medida de lo posible
to trip (over), to stumble	tropezar
to turn back, to go back, reverse	dar la vuelta, volver
to understand	entender
to wake (someone) up	despertar a alguien
to warm oneself, to get warm	calentarse
to weave	tejer
to wither (of flowers, dreams, etc.), to wilt	marchitarse
toilet, restroom, bathroom (lit., a place to wash one's hands)	aseo, servicio (lit., lugar para lavarse las manos)
trouble, worry, difficulty	problema, preocupación
truth	verdad
two days before yesterday, three days ago	anteanteayer, hace tres días
urgent, sudden; steep	urgente, repentino; empinado
usual, common, obvious	habitual, corriente, evidente
very, considerably, quite	muy, bastante, considerablemente
way, method, specification	modo, método, especificación
will	voluntad
wish, desire, ambition	deseo, aspiración
words, phrases	palabras, frases
world, society, generation	mundo, sociedad, generación
yearbook	anuario
~ district, ~ ward, ~ borough	~ distrito, ~ barrio
~ system, ~ lineage, ~ group	~ sistema, ~ linaje, ~ grupo
sub-, second-rate, inferior	sub-, de segunda, inferior
